Title,Character,Max Level,SA Level,Rarity,Type,Cost,ID,JP Release Date,Global Release Date,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Links,Categories,HP,Attack,Defense,Details,References,Transforms Into,JP EZA Release Date,Global EZA Release Date,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Active Skill Name,Active Skill,Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Fruits of Labor,Krillin,60/80,1/10,SR to SSR,TEQ to Super TEQ,10/14,1011,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Lower DEF"", ""Raise ATK"", ""Raise DEF""]",ATK +20% when HP is 80% or below,Destructo-Disc,Causes huge damage to enemy and lowers DEF[1],Moment of Truth,All allies' DEF +50% when HP is 30% or below,"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Turtle School Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +20%"", ""Courage Lv 1: Ki +1Lv 10: Ki +2 and ATK +10%"", ""High Compatibility Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%""]","[""Earthlings"", ""Battle of Wits"", ""Turtle School"", ""Bond of Friendship"", ""Saiyan Saga""]","[""1528"", ""5970""]","[""1037"", ""5292""]","[""974"", ""3700""]","[""\u25ba 12 Ki Multiplier is 155%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 Lowers enemy's DEF by 20% for 3 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Stern Teacher,Piccolo,60/80,1/10,SR to SSR,AGL to Super AGL,8/12,1012,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Boost Type"", ""Lower DEF"", ""Raise Ki""]",Ki +1 when HP is 80% or below,Special Beam Cannon,Causes huge damage to enemy and lowers DEF[1],Rapid,AGL and PHY Type Ki +1,"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Prodigies Lv 1: ATK +10%Lv 10: ATK +15%"", ""Experienced Fighters Lv 1: ATK +10%Lv 10: ATK +15%"", ""Namekians Lv 1: Recovers 5% HPLv 10: Recovers 7% HP and ATK & DEF +7%"", ""Brainiacs Lv 1: ATK & DEF +10%Lv 10: ATK & DEF +15%""]","[""Namekians"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Battle of Wits"", ""Gifted Warriors"", ""Saiyan Saga""]","[""1425"", ""6069""]","[""1119"", ""5848""]","[""738"", ""2968""]","[""\u25ba 12 Ki Multiplier is 110%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 Lowers enemy's DEF by 20% for 3 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Aura Unleashed,Tien,60/80,1/10,SR to SSR,TEQ to Super TEQ,10/14,1013,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Raise ATK"", ""Seal Super Attack""]",ATK +25% when HP is 30% or below,Tri-Beam,Causes extreme damage to enemy,Warrior's Spirit,Rare chance to seal all enemies' Super Attacks[1],"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Telepathy Lv 1: Ki +1Lv 10: Ki +2 and chance of performing a critical hit +5%"", ""Crane School Lv 1: ATK +15%Lv 10: ATK +20%"", ""Cold Judgment Lv 1: DEF +20%Lv 10: DEF +25%"", ""Solid Support Lv 1: ATK +10% and all enemies' DEF -15%Lv 10: ATK +15% and all enemies' DEF -20%""]","[""Worthy Rivals"", ""Earthlings"", ""Bond of Friendship""]","[""1536"", ""6300""]","[""1073"", ""5556""]","[""816"", ""3205""]","[""\u25ba 12 Ki Multiplier is 150%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 2% chance to seal all enemies' Super Attacks for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gifted One,Chiaotzu,60/80,1/10,SR to SSR,INT to Super INT,10/14,1014,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise HP"", ""Stun""]",INT Type HP +25%,Dodon Ray,Causes huge damage to enemy,Psychokinesis,May stun all enemies[1],"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Telepathy Lv 1: Ki +1Lv 10: Ki +2 and chance of performing a critical hit +5%"", ""Crane School Lv 1: ATK +15%Lv 10: ATK +20%"", ""Telekinesis Lv 1: All enemies' DEF -10%Lv 10: All enemies' DEF -20%"", ""Dodon Ray Lv 1: ATK +10% when performing a Super AttackLv 10: ATK +15% when performing a Super Attack""]","[""Worthy Rivals"", ""Earthlings"", ""Bond of Friendship"", ""Saiyan Saga""]","[""1562"", ""7016""]","[""994"", ""5348""]","[""734"", ""2986""]","[""\u25ba 12 Ki Multiplier is 123%"", ""\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 100% chance to stun all enemies for 1 turn (once only)\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Secret Arts Unleashed,Yamcha,60/80,1/10,SR to SSR,AGL to Super AGL,10/14,1015,30 Jan 2015,Prior to 30 Oct 2015,"[""Lower DEF""]",Enemy DEF -25%,Wolf Fang Fist,Causes huge damage to enemy and lowers DEF[1],First Attack,Being the 1st attacker in a turn for enemy's DEF -50%,"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Solid Support Lv 1: ATK +10% and all enemies' DEF -15%Lv 10: ATK +15% and all enemies' DEF -20%"", ""Turtle School Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +20%"", ""Speedy Retribution Lv 1: ATK +10%Lv 10: ATK +15% and chance of evading enemy's attack (including Super Attack) +5%""]","[""Worthy Rivals"", ""Earthlings"", ""Turtle School"", ""Saiyan Saga""]","[""1265"", ""5190""]","[""1149"", ""5868""]","[""857"", ""3370""]","[""\u25ba 12 Ki Multiplier is 110%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 Lowers enemy's DEF by 20% for 3 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Peerless Saiyan,Raditz,60/80,1/10,SR to SSR,TEQ to Extreme TEQ,10/14,1016,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Debuff"", ""Raise ATK""]",ATK +25% when HP is 30% or below,Double Sunday,Causes huge damage to enemy,Desperation,Enemies/allies' ATK +25% when HP is 30% or below,"[""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Coward Lv 1: Ki +1Lv 10: Ki +2 and chance of performing a critical hit +5%""]","[""Low-Class Warrior"", ""Pure Saiyans"", ""Goku's Family"", ""Terrifying Conquerors"", ""Space-Traveling Warriors"", ""Saiyan Saga""]","[""1572"", ""6027""]","[""522"", ""5070""]","[""599"", ""3771""]","[""\u25ba 12 Ki Multiplier is 150%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elite Warrior's Rage,Nappa,60/80,1/10,SR to SSR,STR to Extreme STR,10/14,1017,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise HP"", ""Raise ATK""]",STR Type HP & ATK +20%,Giant Storm,Causes huge damage to enemy,Kill Them All,ATK +50% when facing 3 or more enemies,"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""New Lv 1: ATK +20%Lv 10: ATK +20% and DEF +20%"", ""Tough as Nails Lv 1: DEF +15%Lv 10: DEF +20% and reduces damage received by 5%"", ""Berserker Lv 1: ATK +20% when HP is 50% or lessLv 10: ATK +30% when HP is 50% or less"", ""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%""]","[""Pure Saiyans"", ""Terrifying Conquerors"", ""Space-Traveling Warriors"", ""Saiyan Saga""]","[""1504"", ""6169""]","[""1227"", ""6139""]","[""794"", ""3115""]","[""\u25ba 12 Ki Multiplier is 120%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hidden Strength,Zarbon,60/80,1/10,SR to SSR,INT to Extreme INT,10/14,1018,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise ATK""]",INT Type ATK + 25%,Elegant Blaster,Causes huge damage to enemy,Hidden Power,With a chance that ATK + 25%,"[""Metamorphosis Lv 1: Recovers 5% HPLv 10: Recovers 5% HP and ATK & DEF +10%"", ""Frieza's Minion Lv 1: ATK +20%Lv 10: ATK +20% and DEF +10%"", ""Frieza's Army Lv 1: DEF +20%Lv 10: ATK +10% and DEF +20%""]","[""Planet Namek Saga"", ""Transformation Boost"", ""Dragon Ball Seekers"", ""Terrifying Conquerors"", ""Space-Traveling Warriors""]","[""1484"", ""6396""]","[""1028"", ""5373""]","[""1114"", ""4426""]","[""\u25ba 12 Ki Multiplier is 123%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honorable Fighter,Captain Ginyu,60/80,1/10,SR to SSR,INT to Extreme INT,8/12,1019,30 Jan 2015,Prior to 30 Oct 2015,"[""Raise HP"", ""Raise ATK"", ""Raise DEF""]",HP +25%,Milky Cannon,Causes huge damage to enemy,Captain's Character,Rare chance[1] of increasing ATK and DEF by 50%,"[""The Ginyu Force Lv 1: ATK +25%Lv 10: ATK +25% and chance to perform a critical hit +5%"", ""Gentleman Lv 1: Ki +2Lv 10: Ki +2 and DEF +10%"", ""Respect Lv 1: ATK +15%Lv 10: ATK +20%"", ""Loyalty Lv 1: Ki +1Lv 10: Ki +2 and reduces damage received by 5%"", ""Signature Pose Lv 1: Ki +2Lv 10: Ki +3 and ATK +7%""]","[""Planet Namek Saga"", ""Ginyu Force"", ""Dragon Ball Seekers"", ""Terrifying Conquerors"", ""Special Pose"", ""Space-Traveling Warriors""]","[""1693"", ""7527""]","[""1023"", ""5441""]","[""982"", ""4009""]","[""\u25ba 12 Ki Multiplier is 123%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 2% chance of ATK & DEF +50%\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated Combat,Android #19,60/80,1/10,SR to SSR,PHY to Extreme PHY,10/14,1020,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Raise ATK"", ""Recovery""]",ATK + 15% when HP is 50% or above,Eye Beam,Causes huge damage to enemy,Energy Absorption,Recover 15% of damage dealt as HP when Ki >= 5,"[""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Tough as Nails Lv 1: DEF +15%Lv 10: DEF +20% and reduces damage received by 5%"", ""Loyalty Lv 1: Ki +1Lv 10: Ki +2 and reduces damage received by 5%"", ""Energy Absorption Lv 1: Ki +2Lv 10: Ki +3 and recovers 3% HP""]","[""Androids"", ""Artificial Life Forms"", ""Androids/Cell Saga"", ""Target: Goku"", ""Power Absorption""]","[""1528"", ""6270""]","[""994"", ""5232""]","[""1145"", ""4555""]","[""\u25ba 12 Ki Multiplier is 140%""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Ribbon Army's Grudge,Dr. Gero,60/80,1/10,SR to SSR,INT to Extreme INT,10/14,1021,30 Jan 2015,Prior to 30 Oct 2015,"[""Lower ATK"", ""Recovery""]",TEQ Type enemy ATK - 25%,Photon Wave,Causes huge damage to enemy,Energy Absorption,Recover 25% of damage dealt as HP when Ki >= 8,"[""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""RR Army Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Brainiacs Lv 1: ATK & DEF +10%Lv 10: ATK & DEF +15%"", ""Flee Lv 1: Ki +1 when HP is 30% or lessLv 10: Ki +2 and chance of evading enemy's attack (including Super Attack) +10% when HP is 50% or less"", ""Thirst for Conquest Lv 1: ATK +15%Lv 10: ATK & DEF +15%"", ""Scientist Lv 1: Ki +2Lv 10: Ki +2 and DEF +20%"", ""Energy Absorption Lv 1: Ki +2Lv 10: Ki +3 and recovers 3% HP""]","[""Androids"", ""Androids/Cell Saga"", ""Terrifying Conquerors"", ""Target: Goku"", ""Revenge"", ""Battle of Wits"", ""Power Absorption""]","[""1495"", ""6773""]","[""1115"", ""5873""]","[""924"", ""3807""]","[""\u25ba 12 Ki Multiplier is 123%""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infinite Fighting Spirit,Android #17,60/80,1/10,SR to SSR,TEQ to Extreme TEQ,8/12,1022,30 Jan 2015,Prior to 30 Oct 2015,"[""Lower ATK"", ""Lower DEF""]",AGL Type enemy ATK -25%,Full Power Energy Ball,Causes huge damage to enemy,Overwhelming Pressure,With a chance[1] to reduce all enemies' DEF to 0,"[""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Twin Terrors Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of evading enemy's attack (including Super Attack) +5%"", ""The Innocents Lv 1: ATK +10%Lv 10: ATK +15%"", ""Soul vs Soul Lv 1: Weakens enemy's Regeneration; Ki +1Lv 10: Weakens enemy's Regeneration; Ki +2 and ATK & DEF +5%"", ""Infinite Energy Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of performing a critical hit +5%""]","[""Androids"", ""Siblings' Bond"", ""Androids/Cell Saga"", ""Target: Goku""]","[""1595"", ""6791""]","[""933"", ""5056""]","[""924"", ""3760""]","[""\u25ba 12 Ki Multiplier is 110%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 5% chance to reduce all enemies' DEF to 0 for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
